File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,485M, Num_Chunks:8,30.1440
,485M, Num_Chunks:8,24.0675
,460M, Num_Chunks:8,41.5670
,485M, Num_Chunks:8,27.8164
,460M, Num_Chunks:8,25.4647
,485M, Num_Chunks:8,28.4442
,460M, Num_Chunks:8,40.7036
,485M, Num_Chunks:8,27.6979
,460M, Num_Chunks:8,27.7280
,485M, Num_Chunks:8,27.6151
,460M, Num_Chunks:8,26.1126
,485M, Num_Chunks:8,26.2370
,460M, Num_Chunks:8,28.7040
,485M, Num_Chunks:8,44.8315
,461M, Num_Chunks:8,27.9500
,486M, Num_Chunks:8,28.2510
,461M, Num_Chunks:8,29.1846
,461M, Num_Chunks:8,25.4614
,486M, Num_Chunks:8,38.2816
,486M, Num_Chunks:8,32.2066
,461M, Num_Chunks:8,38.3751
,461M, Num_Chunks:8,26.5944
,486M, Num_Chunks:8,32.4237
,461M, Num_Chunks:8,25.9220
,486M, Num_Chunks:8,25.9685
,486M, Num_Chunks:8,27.1314
,461M, Num_Chunks:8,33.0099
,486M, Num_Chunks:8,29.2926
,461M, Num_Chunks:8,46.9408
,486M, Num_Chunks:8,28.1915
,461M, Num_Chunks:8,30.6768
,486M, Num_Chunks:8,26.8496
,486M, Num_Chunks:8,26.0944
,461M, Num_Chunks:8,40.0071
,462M, Num_Chunks:8,25.7214
,487M, Num_Chunks:8,35.2386
,462M, Num_Chunks:8,26.3359
,487M, Num_Chunks:8,30.2344
,462M, Num_Chunks:8,29.0426
,487M, Num_Chunks:8,48.5568
,462M, Num_Chunks:8,25.7747
,487M, Num_Chunks:8,33.5200
,462M, Num_Chunks:8,33.4976
,487M, Num_Chunks:8,27.3641
,462M, Num_Chunks:8,33.7004
,462M, Num_Chunks:8,28.1860
,487M, Num_Chunks:8,34.5694
,462M, Num_Chunks:8,27.3401
,487M, Num_Chunks:8,33.4373
,487M, Num_Chunks:8,27.5782
,462M, Num_Chunks:8,33.7238
,487M, Num_Chunks:8,29.2374
,462M, Num_Chunks:8,35.5071
,487M, Num_Chunks:8,36.7975
,463M, Num_Chunks:8,43.8145
,463M, Num_Chunks:8,27.8198
,488M, Num_Chunks:8,54.4935
,463M, Num_Chunks:8,33.0097
,488M, Num_Chunks:8,27.1902
,463M, Num_Chunks:8,33.3368
,488M, Num_Chunks:8,34.6628
,488M, Num_Chunks:8,27.4722
,463M, Num_Chunks:8,36.3748
,488M, Num_Chunks:8,26.9265
,463M, Num_Chunks:8,41.8910
,488M, Num_Chunks:8,34.8441
,463M, Num_Chunks:8,38.2372
,488M, Num_Chunks:8,26.8210
,463M, Num_Chunks:8,28.7414
,488M, Num_Chunks:8,26.4378
,488M, Num_Chunks:8,26.4468
,463M, Num_Chunks:8,40.6131
,463M, Num_Chunks:8,24.2142
,488M, Num_Chunks:8,40.0696
,464M, Num_Chunks:8,28.7776
,464M, Num_Chunks:8,29.0348
,489M, Num_Chunks:8,49.9989
,489M, Num_Chunks:8,28.1236
,464M, Num_Chunks:8,39.9973
,489M, Num_Chunks:8,31.7839
,464M, Num_Chunks:8,26.1558
,464M, Num_Chunks:8,24.5148
,489M, Num_Chunks:8,37.4748
,464M, Num_Chunks:8,26.5780
,489M, Num_Chunks:8,32.2544
,464M, Num_Chunks:8,32.4417
,489M, Num_Chunks:8,26.5510
,489M, Num_Chunks:8,29.0788
,464M, Num_Chunks:8,35.5961
,489M, Num_Chunks:8,27.1266
,464M, Num_Chunks:8,29.3355
,464M, Num_Chunks:8,23.3423
,489M, Num_Chunks:8,32.4290
,489M, Num_Chunks:8,26.9347
,465M, Num_Chunks:8,33.8138
,465M, Num_Chunks:8,38.3183
,490M, Num_Chunks:8,38.3595
,465M, Num_Chunks:8,29.3541
,490M, Num_Chunks:8,41.7133
,465M, Num_Chunks:8,28.6509
,490M, Num_Chunks:8,34.3494
,465M, Num_Chunks:8,27.0789
,465M, Num_Chunks:8,25.1145
,490M, Num_Chunks:8,34.1335
,490M, Num_Chunks:8,28.7235
,465M, Num_Chunks:8,41.8314
,490M, Num_Chunks:8,32.8946
,465M, Num_Chunks:8,26.4665
,490M, Num_Chunks:8,31.4349
,465M, Num_Chunks:8,31.8237
,465M, Num_Chunks:8,25.3886
,490M, Num_Chunks:8,40.9310
,466M, Num_Chunks:8,35.7686
,490M, Num_Chunks:8,27.4912
,490M, Num_Chunks:8,30.6888
,466M, Num_Chunks:8,41.6002
,491M, Num_Chunks:8,30.9096
,466M, Num_Chunks:8,27.5186
,491M, Num_Chunks:8,27.8697
,466M, Num_Chunks:8,29.3056
,491M, Num_Chunks:8,26.8372
,466M, Num_Chunks:8,31.7605
,491M, Num_Chunks:8,33.4737
,466M, Num_Chunks:8,28.3694
,491M, Num_Chunks:8,36.1986
,466M, Num_Chunks:8,27.6543
,491M, Num_Chunks:8,23.5657
,466M, Num_Chunks:8,30.1471
,466M, Num_Chunks:8,23.3495
,491M, Num_Chunks:8,36.3376
,491M, Num_Chunks:8,25.1762
,466M, Num_Chunks:8,31.5888
,467M, Num_Chunks:8,33.0487
,491M, Num_Chunks:8,42.3538
,491M, Num_Chunks:8,25.7497
,467M, Num_Chunks:8,47.4271
,492M, Num_Chunks:8,28.3366
,467M, Num_Chunks:8,29.2700
,492M, Num_Chunks:8,27.1492
,467M, Num_Chunks:8,33.9218
,492M, Num_Chunks:8,26.0902
,467M, Num_Chunks:8,25.7799
,492M, Num_Chunks:8,28.0973
,492M, Num_Chunks:8,29.7630
,467M, Num_Chunks:8,38.1074
,467M, Num_Chunks:8,35.0353
,492M, Num_Chunks:8,35.0584
,467M, Num_Chunks:8,27.6763
,492M, Num_Chunks:8,28.1915
